reference_package	reference_version	reference_architecture	source	source_version	target_package	target_architecture	disposition	match_reason	candidate_version	candidate_sha256	repository_filename
liblz4-1	1.9.3-2	amd64	lz4	1.9.3-2	liblz4-1	arm64	native-arm64	exact-binary-and-source-version	1.9.3-2	83f0ee547cd42854e1b2a2e4c1a5705e28259ee5fa6560119f918f961a5dada2	83f0ee547cd42854e1b2a2e4c1a5705e28259ee5fa6560119f918f961a5dada2-liblz4-1_1.9.3-2_arm64.deb
liblzma5	5.2.5-2.1~deb11u1	amd64	xz-utils	5.2.5-2.1~deb11u1	liblzma5	arm64	native-arm64	exact-binary-and-source-version	5.2.5-2.1~deb11u1	d865bba41952c707b3fa3ae8cab4d4bd337ee92991d2aead66c925bf7cc48846	d865bba41952c707b3fa3ae8cab4d4bd337ee92991d2aead66c925bf7cc48846-liblzma5_5.2.5-2.1~deb11u1_arm64.deb
liblzo2-2	2.10-2	amd64	lzo2	2.10-2	liblzo2-2	arm64	native-arm64	exact-binary-and-source-version	2.10-2	7b83b0c8f67bb09da8d3bb7b2ff38843bfdc8f7b627194048c18d679e1ee2a5b	7b83b0c8f67bb09da8d3bb7b2ff38843bfdc8f7b627194048c18d679e1ee2a5b-liblzo2-2_2.10-2_arm64.deb
libmagic-mgc	1:5.39-3	amd64	file	1:5.39-3	libmagic-mgc	arm64	native-arm64	exact-binary-and-source-version	1:5.39-3	ee52c1a5eaca56fe0cf38e9c5367d21ab3ee6360541c97e11c23374643f83d1c	ee52c1a5eaca56fe0cf38e9c5367d21ab3ee6360541c97e11c23374643f83d1c-libmagic-mgc_1%3a5.39-3_arm64.deb
libmagic1	1:5.39-3	amd64	file	1:5.39-3	libmagic1	arm64	native-arm64	exact-binary-and-source-version	1:5.39-3	de8c9b08bc82d289a8a5c17e8bc5e3bb6e8629dc5c201f6f67f6b57cab0d01cd	de8c9b08bc82d289a8a5c17e8bc5e3bb6e8629dc5c201f6f67f6b57cab0d01cd-libmagic1_1%3a5.39-3_arm64.deb
libmalcontent-0-0	0.10.0-2	amd64	malcontent	0.10.0-2	libmalcontent-0-0	arm64	native-arm64	exact-binary-and-source-version	0.10.0-2	4dc6d59fa5346e1bdcfb7e1ebd86742b285eeed76dfe2cebd19496e27cab34c7	4dc6d59fa5346e1bdcfb7e1ebd86742b285eeed76dfe2cebd19496e27cab34c7-libmalcontent-0-0_0.10.0-2_arm64.deb
libmalcontent-ui-0-0	0.10.0-2	amd64	malcontent	0.10.0-2	libmalcontent-ui-0-0	arm64	native-arm64	exact-binary-and-source-version	0.10.0-2	17930dc1c604cd6a7e4042896d7174c81d2cbc6336178b5d827961fc926910ef	17930dc1c604cd6a7e4042896d7174c81d2cbc6336178b5d827961fc926910ef-libmalcontent-ui-0-0_0.10.0-2_arm64.deb
libmanette-0.2-0	0.2.5-1	amd64	libmanette	0.2.5-1	libmanette-0.2-0	arm64	native-arm64	exact-binary-and-source-version	0.2.5-1	ccc3386a02c9a0cd3895acda1e7769640e4e525792212340b43768a20815f74b	ccc3386a02c9a0cd3895acda1e7769640e4e525792212340b43768a20815f74b-libmanette-0.2-0_0.2.5-1_arm64.deb
libmd0	1.0.3-3	amd64	libmd	1.0.3-3	libmd0	arm64	native-arm64	exact-binary-and-source-version	1.0.3-3	3c490cdcce9d25e702e6587b6166cd8e7303fce8343642d9d5d99695282a9e5c	3c490cdcce9d25e702e6587b6166cd8e7303fce8343642d9d5d99695282a9e5c-libmd0_1.0.3-3_arm64.deb
libmd4c0	0.4.7-2	amd64	md4c	0.4.7-2	libmd4c0	arm64	native-arm64	exact-binary-and-source-version	0.4.7-2	ce086a542c768cf63f20863d02b387fdc17263efe3158096a7aaf4d02b584160	ce086a542c768cf63f20863d02b387fdc17263efe3158096a7aaf4d02b584160-libmd4c0_0.4.7-2_arm64.deb
