reference_package	reference_version	mapping_status	source	source_version	target_package	target_version	target_architecture	custom_candidate
gir1.2-peas-1.0	1.28.0-2+b1	exact-arm64	libpeas	1.28.0-2	gir1.2-peas-1.0	1.28.0-2+b1	arm64	False
gir1.2-polkit-1.0	0.105-31+nDeb11u1+grm3u1	rebuild-arm64	policykit-1	0.105-31+nDeb11u1+grm3u1	gir1.2-polkit-1.0	0.105-31+nDeb11u1+grm3u1	arm64	True
gir1.2-soup-2.4	2.72.0-2	exact-arm64	libsoup2.4	2.72.0-2	gir1.2-soup-2.4	2.72.0-2	arm64	False
gir1.2-vte-2.91	0.62.3-1	exact-arm64	vte2.91	0.62.3-1	gir1.2-vte-2.91	0.62.3-1	arm64	False
gir1.2-webkit2-4.0	2.40.3-2~deb11u2	exact-arm64	webkit2gtk	2.40.3-2~deb11u2	gir1.2-webkit2-4.0	2.40.3-2~deb11u2	arm64	False
gir1.2-wnck-3.0	3.36.0-1	exact-arm64	libwnck3	3.36.0-1	gir1.2-wnck-3.0	3.36.0-1	arm64	False
gkbd-capplet	3.26.1-1	exact-arm64	libgnomekbd	3.26.1-1	gkbd-capplet	3.26.1-1	arm64	False
glib-networking	2.66.0-2	exact-arm64	glib-networking	2.66.0-2	glib-networking	2.66.0-2	arm64	False
glib-networking-common	2.66.0-2	reuse-all	glib-networking	2.66.0-2	glib-networking-common	2.66.0-2	all	False
glib-networking-services	2.66.0-2	exact-arm64	glib-networking	2.66.0-2	glib-networking-services	2.66.0-2	arm64	False
glx-alternative-mesa	1.2.1~deb11u1	exact-arm64	glx-alternatives	1.2.1~deb11u1	glx-alternative-mesa	1.2.1~deb11u1	arm64	False
glx-alternative-nvidia	1.2.1~deb11u1	exact-arm64	glx-alternatives	1.2.1~deb11u1	glx-alternative-nvidia	1.2.1~deb11u1	arm64	False
glx-diversions	1.2.1~deb11u1	exact-arm64	glx-alternatives	1.2.1~deb11u1	glx-diversions	1.2.1~deb11u1	arm64	False
gnome-bluetooth	3.34.3-2+grm3u1	rebuild-arm64	gnome-bluetooth	3.34.3-2+grm3u1	gnome-bluetooth	3.34.3-2+grm3u1	arm64	True
